time;Load_load2_running;Load_load2_terminal_V_re;Load_load2_terminal_V_im;Load_load2_PPu;Load_load1_PPu;MS1_gover_PmPu;MS1_gover_omegaPu;MS1_gen_cePu;MS1_gen_PePu;MS1_gen_cmPu;MS1_gen_PmPu;MS1_gen_ufPu;MS1_gen_efdPu;MS1_gen_omegaPu;MS1_gen_theta;MS1_gen_PGenPu;MS1_gen_QGenPu;MS1_gen_PGen;MS1_gen_QGen;MS1_gen_UPu;MS1_gen_IStatorPu;MS1_gen_IRotorPu;MS1_gen_UStatorPu;MS1_gen_QStatorPu;MS1_gen_thetaInternal;MS2_gen_cePu;MS2_gen_PePu;MS2_gen_cmPu;MS2_gen_PmPu;MS2_gen_ufPu;MS2_gen_efdPu;MS2_gen_omegaPu;MS2_gen_theta;MS2_gen_PGenPu;MS2_gen_QGenPu;MS2_gen_PGen;MS2_gen_QGen;MS2_gen_UPu;MS2_gen_IStatorPu;MS2_gen_IRotorPu;MS2_gen_UStatorPu;MS2_gen_QStatorPu;MS2_gen_thetaInternal;
0.512;1;0.999989;-1.37107e-05;1.89996;1.89996;0.760001;1;0.760004;0.760004;0.760001;0.760001;0.00131627;1.81724;1;0.939561;3.80002;7.13105e-05;380.002;0.00713105;0.999989;3.80006;1.81727;0.999989;7.13105e-05;0.939575;-2.10529e-05;-2.10529e-05;-2e-05;-2e-05;0.000798663;1.10263;1;-5.12327e-05;-0.000105264;-7.13092e-05;-0.0105264;-0.00713092;1.10264;0.000115309;1.10261;1.10264;-7.13092e-05;-2.93217e-05;
1.024;1;0.999988;-4.00692e-05;1.89995;1.89995;0.760001;1;0.760001;0.760001;0.760001;0.760001;0.00131627;1.81724;1;0.939536;3.80001;5.52542e-05;380.001;0.00552542;0.999988;3.80005;1.81726;0.999988;5.52542e-05;0.939576;-1.99109e-05;-1.99109e-05;-2e-05;-2e-05;0.000798663;1.10263;1;-7.70153e-05;-9.95543e-05;-5.52532e-05;-0.00995543;-0.00552532;1.10264;0.000103261;1.10262;1.10264;-5.52532e-05;-2.91413e-05;
2.048;1;0.999986;-6.50357e-05;1.89995;1.89995;0.76;1;0.76;0.76;0.76;0.76;0.00131627;1.81724;1;0.939513;3.8;3.54797e-05;380;0.00354797;0.999986;3.80005;1.81725;0.999986;3.54797e-05;0.939578;-2.06217e-05;-2.06217e-05;-2e-05;-2e-05;0.000798663;1.10263;1;-0.000102979;-0.000103109;-3.54788e-05;-0.0103109;-0.00354788;1.10264;9.88918e-05;1.10263;1.10264;-3.54788e-05;-2.97722e-05;
4.096;1;0.999984;0.000103325;1.89994;1.89994;0.759999;1;0.759997;0.759997;0.759998;0.759999;0.00131627;1.81724;1;0.939684;3.79999;1.76628e-05;379.999;0.00176628;0.999984;3.80005;1.81725;0.999984;1.76628e-05;0.939581;-2.13291e-05;-2.13291e-05;-2e-05;-2e-05;0.000798663;1.10263;1;6.40061e-05;-0.000106645;-1.76618e-05;-0.0106645;-0.00176618;1.10264;9.80357e-05;1.10263;1.10264;-1.76618e-05;-3.07932e-05;
6.144;1;0.999983;0.0005048;1.89994;1.89994;0.759997;1;0.759995;0.759995;0.759996;0.759997;0.00131627;1.81724;1;0.940087;3.79998;9.5147e-06;379.998;0.00095147;0.999983;3.80004;1.81724;0.999983;9.5147e-06;0.939583;-2.14204e-05;-2.14204e-05;-2e-05;-2e-05;0.000798663;1.10263;1;0.000464951;-0.000107102;-9.51379e-06;-0.0107102;-0.000951379;1.10264;9.68112e-05;1.10263;1.10264;-9.51379e-06;-3.12606e-05;
10.24;1;0.99998;0.0019761;1.89993;1.89993;0.759994;1;0.759992;0.759993;0.759993;0.759994;0.00131627;1.81724;1;0.941559;3.79997;5.33797e-06;379.997;0.000533797;0.999982;3.80004;1.81724;0.999982;5.33797e-06;0.939583;-2.10165e-05;-2.10165e-05;-2e-05;-2e-05;0.000798663;1.10263;1;0.00193658;-0.000105083;-5.33708e-06;-0.0105083;-0.000533708;1.10264;9.54239e-05;1.10263;1.10264;-5.33708e-06;-3.11117e-05;
14.336;1;0.999975;0.00383654;1.89993;1.89993;0.759993;1;0.759991;0.759992;0.759992;0.759993;0.00131627;1.81724;1;0.94342;3.79996;4.9101e-06;379.996;0.00049101;0.999981;3.80003;1.81724;0.999981;4.9101e-06;0.939583;-2.05911e-05;-2.05912e-05;-2e-05;-2e-05;0.000798663;1.10263;1;0.00379769;-0.000102956;-4.90925e-06;-0.0102956;-0.000490925;1.10264;9.31652e-05;1.10263;1.10264;-4.90925e-06;-3.06447e-05;
18.432;1;0.999965;0.00589049;1.89993;1.89993;0.759992;1;0.759991;0.759992;0.759991;0.759992;0.00131627;1.81724;1;0.945474;3.79996;5.39346e-06;379.996;0.000539346;0.999981;3.80003;1.81724;0.999981;5.39346e-06;0.939583;-2.02936e-05;-2.02936e-05;-2e-05;-2e-05;0.000798663;1.10263;1;0.00585226;-0.000101468;-5.39263e-06;-0.0101468;-0.000539263;1.10264;9.20594e-05;1.10263;1.10264;-5.39263e-06;-3.02121e-05;
26.624;1;0.999929;0.0101895;1.89993;1.89993;0.759992;1;0.75999;0.759992;0.75999;0.759992;0.00131627;1.81724;1;0.949773;3.79996;6.11239e-06;379.996;0.000611239;0.999981;3.80003;1.81724;0.999981;6.11239e-06;0.939583;-2.00723e-05;-2.00723e-05;-2e-05;-2e-05;0.000798663;1.10263;1;0.010152;-0.000100362;-6.11158e-06;-0.0100362;-0.000611158;1.10264;9.11883e-05;1.10263;1.10264;-6.11158e-06;-2.98025e-05;
30;-1;0.999907;0.0119716;1.89993;1.89993;0.759992;1;0.75999;0.759992;0.75999;0.759992;0.00131627;1.81724;1;0.951555;3.79996;6.21129e-06;379.996;0.000621129;0.999981;3.80003;1.81724;0.999981;6.21129e-06;0.939583;-2.00505e-05;-2.00506e-05;-2e-05;-2e-05;0.000798663;1.10263;1;0.0119344;-0.000100253;-6.21048e-06;-0.0100253;-0.000621048;1.10264;9.10958e-05;1.10263;1.10264;-6.21048e-06;-2.9751e-05;
30.001;-1;1.00071;0.0839666;-2.82057e-09;1.91611;0.759825;1.00003;0.493819;0.493837;0.759799;0.759825;0.00131627;1.81724;1.00003;0.951566;2.46918;0.0351005;246.918;3.51005;1.00423;2.45903;1.6306;1.00423;0.0351005;0.867855;-0.110369;-0.110371;-1.99997e-05;-2e-05;0.000798663;1.10263;1.00002;0.0119392;-0.551854;-0.0105485;-55.1854;-1.05485;1.10286;0.500478;1.1033;1.10286;-0.0105485;-0.0275048;
30.002;-1;1.00082;0.0845385;8.52143e-09;1.91668;0.75966;1.00007;0.494407;0.494441;0.759608;0.75966;0.00131627;1.81724;1.00007;0.951587;2.4722;0.0363113;247.22;3.63113;1.00438;2.46169;1.62669;1.00438;0.0363113;0.867318;-0.110855;-0.110858;-1.99994e-05;-2e-05;0.000798663;1.10263;1.00003;0.0119485;-0.554291;-0.0115429;-55.4291;-1.15429;1.10291;0.502679;1.10321;1.10291;-0.0115429;-0.0278717;
30.004;-1;1.00101;0.085681;-3.24653e-07;1.91779;0.759329;1.00013;0.495561;0.495628;0.759227;0.759329;0.00131627;1.81724;1.00013;0.951654;2.47814;0.0386465;247.814;3.86465;1.00467;2.46692;1.61909;1.00467;0.0386465;0.866268;-0.111812;-0.111819;-1.99989e-05;-2e-05;0.000798663;1.10263;1.00006;0.0119771;-0.559094;-0.0134497;-55.9094;-1.34497;1.10303;0.507024;1.10304;1.10303;-0.0134497;-0.0285992;
30.008;-1;1.00135;0.0879637;0;1.91984;0.758674;1.00027;0.497772;0.497904;0.758473;0.758674;0.00131627;1.81724;1.00027;0.95191;2.48952;0.0429057;248.952;4.29057;1.00521;2.47699;1.60501;1.00521;0.0429057;0.86429;-0.113664;-0.113677;-1.99977e-05;-2e-05;0.000798663;1.10263;1.00011;0.0120868;-0.568383;-0.0168657;-56.8383;-1.68657;1.10324;0.515422;1.10272;1.10324;-0.0168657;-0.0300242;
30.016;-1;1.00186;0.0925615;0;1.92334;0.757384;1.00052;0.501874;0.502137;0.756988;0.757384;0.00131627;1.81724;1.00052;0.952903;2.51068;0.0500127;251.068;5.00127;1.00612;2.4959;1.58083;1.00612;0.0500127;0.860775;-0.117166;-0.117192;-1.99954e-05;-2e-05;0.000798663;1.10263;1.00023;0.0125202;-0.585962;-0.0223402;-58.5962;-2.23402;1.10362;0.531332;1.10221;1.10362;-0.0223402;-0.0327691;
